Title: Ionic Catalysts
Description: This is the first of many collections of levels that I solved by hand and
             generated. They are all fairly easy. Enjoy!
Author: Razorflame
Email: razorflame@yahoo.com

    #####
#####.* #
#.  #  *#
# # $ ###
#..$  $ #
#  $ #$@#
#    #. #
#    ####
######
Title: Import #1

    #####
#####.**#
#.  #   #
# # $ ###
#..$  $ #
#  $ #$ #
#    #. #
#    ##@#
#########
Title: Import #2

    #####
#####.$.#
#   # #*#
#*#   ###
#..# $  #
# $$ $@ #
#    #. #
#    ####
######
Title: Import #3

    #####
#####.* #
#@  # #*#
#.# $ ###
#..#$   #
#   $$. #
#    $  #
#     ###
#######
Title: Import #4

    #####
#####.* #
#   #@#*#
#*#   ###
#..#$   #
#.$$ $$ #
#    #. #
#    ####
######
Title: Import #5

    #####
#####+* #
#   #$#*#
#.#.$ ###
#..#$   #
#    *  #
# $ $   #
#     ###
#######
Title: Import #6

    ###
#####.#
#   # #
#.# $ ###
#..#$   #
#   $$. #
#   @$  #
#     ###
#######
Title: Import #7

    #####
#####.#*#
#.  # * #
# # $ ###
#..$  $@#
#  $ #$ #
#    #. #
#    ####
######
Title: Import #8

    #####
#####.$.#
#   # #*#
#.#   ###
#..#.   #
# $@$ $ #
# $$ #* #
##   ####
 #####
Title: Import #9

    #####
    #+**#
#####$#*#
#.##. ###
#. #$   #
#    $  #
#     $ #
#     ###
#######
Title: Import #10

    ###
#####+#
#   #$#
#.# $ ###
#..#$ $ #
#   $ * #
#     . #
#     ###
#######
Title: Import #11

    #####
#####+* #
#   #$#*#
# #   ###
#..#    #
#    $* #
#   $$  #
#     #.#
#########
Title: Import #12

    ###
#####+#
#   #$#
# # $ ###
#..#  $ #
#     . #
#    $  #
#  .$ ###
#######
Title: Import #13

    #####
#####.* #
#.  #   #
# # $ ###
#..$  $ #
#  $ #$ #
# .$ #.@#
#    ####
######
Title: Import #14

    #####
    #.$.#
##### #*#
#.##  ###
#..#    #
# $ $   #
#$$$ #. #
#  @ ####
######
Title: Import #15

    ###
#####+#
#.  #$#
#*#   ###
#..#    #
# $ $$. #
#   $   #
#     ###
#######
Title: Import #17

    #####
#####.$.#
#.  #   #
# #$$ ###
#.    $ #
#$. $#$@#
# .  #. #
#    ####
######
Title: Import #18

######
#    ##
#.# $@###
#..# $  #
#   $ $ #
#    # .#
#    ####
######
Title: Import #19

    ####
#####+*#
#   $$##
#.#   ###
#..# $  #
#    $. #
#    $  #
#     ###
#######
Title: Import #20

    #####
##### * #
#. @#.#*#
#.# $ ###
#  #$   #
#.  $$. #
#    $  #
#     ###
#######
Title: Import #22

    #####
#####+* #
#   #$#*#
# # $ ###
#..#  $ #
#   $   #
#    $. #
#.    ###
#######
Title: Import #23

    #####
    #.$.#
##### #*#
#.##  ###
#.*#. $ #
#  $ $$ #
# $  #+ #
##   ####
 #####
Title: Import #24

    #####
   ##.* #
#### $#*#
#.##  ###
# .# $$ #
#.   $. #
#@   $  #
#     ###
#######
Title: Import #25

    ###
#####.#
#  *# #
#.#@$ ###
#..#$$  #
#    $. #
#     $ #
#     ###
#######
Title: Import #26

    #####
#####+**#
#.* # ###
#.#   ###
#. #$   #
#  $ $$ #
#$   #. #
#    ####
######
Title: Import #27

    #####
#####.* #
#.  #   #
# # $ ###
#..$  $ #
#  $ #  #
# .$ #  #
#    ##@#
#########
Title: Import #28

### ####
#@###.*#
#$    ##
#.# $*###
#..#.   #
# $$$   #
#    #* #
##   ####
 #####
Title: Import #29

   ######
####@* .#
#   #$#*#
#.# $ ###
#..## $ #
#   $ * #
#       #
#     ###
#######
Title: Import #30

    #####
#####** #
#.  #@#*#
#.#  $###
# .#    #
#    $  #
#    $$ #
#    .###
#######
Title: Import #31

#########
#  ##.$.#
#   # #*#
#.#   ###
#..#.   #
# $@$ $ #
# $$ #* #
##   ####
 #####
Title: Import #32

    ####
#####+*#
#   $$##
#.#   ###
#..# $. #
#    $  #
#     $ #
#     ###
#######
Title: Import #33

    #####
#####.  #
#.  #$*@#
#.# $ ###
#..#  * #
#   $   #
#  $ $  #
#     ###
#######
Title: Import #34

    ###
#####.#
#   $ #
# # $ ###
#..$  $@#
#.   #$ #
# . $#. #
#    ####
######
Title: Import #35

    #####
#####+$.#
#.  #$#*#
#*#   ###
#..#    #
# $ $$. #
#   $   #
#     ###
#######
Title: Import #36

    ###
#####+#
#   #$#
#.# $ ###
#..#  * #
#   $   #
#    $  #
#     ###
#######
Title: Import #37

### ####
#@### *#
#$$  . #
#.# $.###
#..#*   #
#  $  $ #
#  $##. #
##  #####
 ####
Title: Import #38

    ###
#####.#
#. @# #
#.# $ ###
# .#$   #
#.  $$  #
#    $  #
#     ###
#######
Title: Import #39

#########
#  ##.$.#
#   # #*#
#.#   ###
#..#.   #
# $@$ $ #
# $$ #*##
##   ###
 #####
Title: Import #40

#########
#  ##* *#
#     #*#
#.#   ###
#..#.$  #
#  $ $$ #
# $  #+##
###  ###
  ####
Title: Import #41

###
#.#####
#     #
#.# $ ###
#..# $$ #
#  @ $. #
#    $  #
#     ###
#######
Title: Import #42

    ####
#####.*#
#   # ##
#.# $ ###
# .#$$  #
#..$  . #
# @ $$###
#     #
#######
Title: Import #43

    ####
#####.*#
#@  # ##
#.# $ ###
#. #$   #
#..$  * #
#   $$###
#     #
#######
Title: Import #44

    ####
#####+*#
#   #$##
#.#   ###
#  #$ $ #
#..  $. #
#    $  #
#     ###
#######
Title: Import #45

#########
#   #+$.#
#*  #$#*#
# #   ###
#..#.   #
#. $$   #
#   $$###
#     #
#######
Title: Import #46

   ######
####@* .#
#   #$#*#
#.#   ###
#..## $ #
#    $  #
#    $  #
#     ###
#######
Title: Import #47

    #####
#####.$.#
#   # #*#
#*#@$ ###
#..# $  #
#    $. #
#     $ #
#     ###
#######
Title: Import #49

    ####
#####.*#
#.  #  #
# # $ ###
#..#$   #
#   $$. #
#    $  #
#    @###
#######
Title: Import #50

    #####
#####.* #
#   $ #*#
#.# $ ###
#..#. $ #
#    $$@#
# $  #.##
###  ###
  ####
Title: Import #51

#########
#  ##.$.#
#   # #*#
#.#   ###
#..#.   #
# $@$ $ #
# $$ # *#
##   ####
 #####
Title: Import #52

    ####
##### *#
# $  .##
#.#  .###
#..#.   #
# $@$ $ #
# $$ #* #
##   ####
 #####
